PassengerId,Survived
892,1
893,1
894,1
895,1
896,0
897,0
898,1
899,0
900,0
901,0
902,1
903,0
904,0
905,1
906,0
907,0
908,1
909,0
910,1
911,1
912,0
913,0
914,0
915,0
916,0
917,1
918,0
919,1
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,1
929,0
930,0
931,0
932,1
933,0
934,1
935,0
936,0
937,1
938,0
939,1
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,1
949,1
950,0
951,0
952,0
953,1
954,0
955,1
956,0
957,0
958,0
959,0
960,0
961,0
962,1
963,0
964,1
965,0
966,0
967,0
968,1
969,1
970,0
971,1
972,0
973,0
974,0
975,1
976,1
977,0
978,1
979,0
980,1
981,0
982,0
983,1
984,0
985,1
986,0
987,1
988,0
989,1
990,0
991,1
992,0
993,0
994,1
995,1
996,0
997,0
998,1
999,1
1000,1
1001,0
1002,1
1003,1
1004,0
1005,0
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,1
1016,1
1017,0
1018,0
1019,0
1020,1
1021,1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,1
1028,1
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,1
1048,0
1049,0
1050,0
1051,0
1052,1
1053,0
1054,0
1055,1
1056,1
1057,0
1058,0
1059,0
1060,0
1061,0
1062,1
1063,1
1064,0
1065,1
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,1
1076,0
1077,1
1078,0
1079,0
1080,0
1081,1
1082,0
1083,0
1084,0
1085,1
1086,0
1087,1
1088,0
1089,0
1090,0
1091,1
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,1
1099,0
1100,0
1101,1
1102,0
1103,1
1104,0
1105,1
1106,1
1107,0
1108,1
1109,0
1110,0
1111,1
1112,1
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,1
1120,1
1121,1
1122,0
1123,0
1124,1
1125,1
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,1
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,1
1147,1
1148,1
1149,1
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,1
1157,1
1158,1
1159,1
1160,1
1161,0
1162,0
1163,1
1164,0
1165,0
1166,1
1167,0
1168,1
1169,0
1170,0
1171,0
1172,0
1173,0
1174,1
1175,0
1176,0
1177,1
1178,1
1179,0
1180,1
1181,1
1182,0
1183,1
1184,1
1185,0
1186,1
1187,1
1188,0
1189,0
1190,0
1191,1
1192,1
1193,0
1194,0
1195,0
1196,1
1197,1
1198,0
1199,0
1200,0
1201,1
1202,0
1203,1
1204,1
1205,1
1206,0
1207,0
1208,0
1209,0
1210,1
1211,0
1212,1
1213,1
1214,0
1215,0
1216,0
1217,1
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,1
1225,0
1226,1
1227,0
1228,1
1229,1
1230,0
1231,1
1232,0
1233,1
1234,0
1235,0
1236,0
1237,0
1238,0
1239,1
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,1
1250,1
1251,0
1252,0
1253,0
1254,0
1255,1
1256,0
1257,0
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,1
1265,1
1266,0
1267,0
1268,1
1269,0
1270,0
1271,0
1272,1
1273,1
1274,0
1275,0
1276,0
1277,0
1278,1
1279,1
1280,1
1281,0
1282,0
1283,0
1284,0
1285,1
1286,0
1287,0
1288,1
1289,0
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,1
1301,0
1302,1
1303,0
1304,1
1305,1
1306,0
1307,1
1308,1
1309,0
